Province_State,date,Confrimed_Case
Alabama,1/22/20,0
Alabama,1/23/20,0
Alabama,1/24/20,0
Alabama,1/25/20,0
Alabama,1/26/20,0
Alabama,1/27/20,0
Alabama,1/28/20,0
Alabama,1/29/20,0
Alabama,1/30/20,0
Alabama,1/31/20,0
Alabama,2/1/20,0
Alabama,2/2/20,0
Alabama,2/3/20,0
Alabama,2/4/20,0
Alabama,2/5/20,0
Alabama,2/6/20,0
Alabama,2/7/20,0
Alabama,2/8/20,0
Alabama,2/9/20,0
Alabama,2/10/20,0
Alabama,2/11/20,0
Alabama,2/12/20,0
Alabama,2/13/20,0
Alabama,2/14/20,0
Alabama,2/15/20,0
Alabama,2/16/20,0
Alabama,2/17/20,0
Alabama,2/18/20,0
Alabama,2/19/20,0
Alabama,2/20/20,0
Alabama,2/21/20,0
Alabama,2/22/20,0
Alabama,2/23/20,0
Alabama,2/24/20,0
Alabama,2/25/20,0
Alabama,2/26/20,0
Alabama,2/27/20,0
Alabama,2/28/20,0
Alabama,2/29/20,0
Alabama,3/1/20,0
Alabama,3/2/20,0
Alabama,3/3/20,0
Alabama,3/4/20,0
Alabama,3/5/20,0
Alabama,3/6/20,0
Alabama,3/7/20,0
Alabama,3/8/20,0
Alabama,3/9/20,0
Alabama,3/10/20,0
Alabama,3/11/20,3
Alabama,3/12/20,4
Alabama,3/13/20,8
Alabama,3/14/20,15
Alabama,3/15/20,28
Alabama,3/16/20,36
Alabama,3/17/20,51
Alabama,3/18/20,61
Alabama,3/19/20,88
Alabama,3/20/20,115
Alabama,3/21/20,149
Alabama,3/22/20,180
Alabama,3/23/20,224
Alabama,3/24/20,298
Alabama,3/25/20,472
Alabama,3/26/20,574
Alabama,3/27/20,684
Alabama,3/28/20,801
Alabama,3/29/20,880
Alabama,3/30/20,1001
Alabama,3/31/20,1063
Alabama,4/1/20,1175
Alabama,4/2/20,1371
Alabama,4/3/20,1606
Alabama,4/4/20,1727
Alabama,4/5/20,1905
Alabama,4/6/20,2079
Alabama,4/7/20,2308
Alabama,4/8/20,2614
Alabama,4/9/20,2954
Alabama,4/10/20,3112
Alabama,4/11/20,3346
Alabama,4/12/20,3667
Alabama,4/13/20,3870
Alabama,4/14/20,4041
Alabama,4/15/20,4307
Alabama,4/16/20,4465
Alabama,4/17/20,4557
Alabama,4/18/20,4788
Alabama,4/19/20,4978
Alabama,4/20/20,5163
Alabama,4/21/20,5404
Alabama,4/22/20,5692
Alabama,4/23/20,5899
Alabama,4/24/20,6092
Alabama,4/25/20,6274
Alabama,4/26/20,6475
Alabama,4/27/20,6621
Alabama,4/28/20,6820
Alabama,4/29/20,6979
Alabama,4/30/20,7187
Alabama,5/1/20,7440
Alabama,5/2/20,7700
Alabama,5/3/20,7977
Alabama,5/4/20,8203
Alabama,5/5/20,8520
Alabama,5/6/20,8769
Alabama,5/7/20,9115
Alabama,5/8/20,9437
Alabama,5/9/20,9720
Alabama,5/10/20,9982
Alabama,5/11/20,10262
Alabama,5/12/20,10566
Alabama,5/13/20,10822
Alabama,5/14/20,11161
Alabama,5/15/20,11494
Alabama,5/16/20,11828
Alabama,5/17/20,12137
Alabama,5/18/20,12438
Alabama,5/19/20,12825
Alabama,5/20/20,13186
Alabama,5/21/20,13590
Alabama,5/22/20,13954
Alabama,5/23/20,14328
Alabama,5/24/20,14676
Alabama,5/25/20,15309
Alabama,5/26/20,15899
Alabama,5/27/20,16263
Alabama,5/28/20,16749
Alabama,5/29/20,17262
Alabama,5/30/20,17689
Alabama,5/31/20,18200
Alabama,6/1/20,18525
Alabama,6/2/20,18734
Alabama,6/3/20,18954
Alabama,6/4/20,19262
Alabama,6/5/20,19910
Alabama,6/6/20,20355
Alabama,6/7/20,20777
Alabama,6/8/20,21268
Alabama,6/9/20,21834
Alabama,6/10/20,22659
Alabama,6/11/20,23370
Alabama,6/12/20,24405
Alabama,6/13/20,25364
Alabama,6/14/20,26182
Alabama,6/15/20,26485
Alabama,6/16/20,27034
Alabama,6/17/20,27941
Alabama,6/18/20,28676
Alabama,6/19/20,29225
Alabama,6/20/20,29683
Alabama,6/21/20,30122
Alabama,6/22/20,30771
Alabama,6/23/20,31889
Alabama,6/24/20,32878
Alabama,6/25/20,33880
Alabama,6/26/20,34903
Alabama,6/27/20,35083
Alabama,6/28/20,36503
Alabama,6/29/20,37589
Alabama,6/30/20,38477
Alabama,7/1/20,39647
Alabama,7/2/20,41340
Alabama,7/3/20,42255
Alabama,7/4/20,43216
Alabama,7/5/20,44022
Alabama,7/6/20,44932
Alabama,7/7/20,46348
Alabama,7/8/20,48149
Alabama,7/9/20,49695
Alabama,7/10/20,51329
Alabama,7/11/20,52802
