,state Name,Sq. Mi.,Sq. Km.
0,Alabama,52420,135767
1,Alaska,665384,1723337
2,Arizona,113990,295234
3,Arkansas,53179,137732
4,California,163695,423967
5,Colorado,104094,269601
6,Connecticut,5543,14357
7,Delaware,2489,6446
8,District of Columbia,68,177
9,Florida,65758,170312
10,Georgia,59425,153910
11,Hawaii,10932,28313
12,Idaho,83569,216443
13,Illinois,57914,149995
14,Indiana,36420,94326
15,Iowa,56273,145746
16,Kansas,82278,213100
17,Kentucky,40408,104656
18,Louisiana,52378,135659
19,Maine,35380,91633
20,Maryland,12406,32131
21,Massachusetts,10554,27336
22,Michigan,96714,250487
23,Minnesota,86936,225163
24,Mississippi,48432,125438
25,Missouri,69707,180540
26,Montana,147040,380831
27,Nebraska,77348,200330
28,Nevada,110572,286380
29,New Hampshire,9349,24214
30,New Jersey,8723,22591
31,New Mexico,121590,314917
32,New York,54555,141297
33,North Carolina,53819,139391
34,North Dakota,70698,183108
35,Ohio,44826,116098
36,Oklahoma,69899,181037
37,Oregon,98379,254799
38,Pennsylvania,46054,119280
39,Rhode Island,1545,4001
40,South Carolina,32020,82933
41,South Dakota,77116,199729
42,Tennessee,42144,109153
43,Texas,268596,695662
44,Utah,84897,219882
45,Vermont,9616,24906
46,Virginia,42775,110787
47,Washington,71298,184661
48,West Virginia,24230,62756
49,Wisconsin,65496,169635
50,Wyoming,97813,253335
