State,Total population,Male,Female,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some other race,Black or African American alone,Total housing units
Alabama,"4,903,185","2,369,611","2,533,574","286,597","294,475","317,645","326,671","317,739","637,403","605,739","609,391","321,296","331,917","505,557","264,071","84,684","3,409,415","1,364,474","53,674","87,434","5,386","81,472","1,312,821","2,284,922"
Alaska,"731,545","380,433","351,112","50,891","52,692","49,737","46,531","47,636","117,978","93,035","87,687","48,858","45,912","61,658","22,265","6,665","521,962","34,639","147,358","61,551","13,352","15,700","21,773","319,867"
Arizona,"7,278,717","3,620,935","3,657,782","427,707","445,512","486,413","483,546","490,999","1,001,594","898,533","853,081","445,006","439,085","751,831","424,605","130,805","5,947,783","434,612","412,256","331,649","31,725","422,541","319,045","3,076,048"
Arkansas,"3,017,804","1,474,705","1,543,099","183,327","192,289","202,376","205,446","197,910","386,602","377,184","362,384","192,477","193,572","303,422","162,243","58,572","2,391,900","502,913","54,059","59,114","14,051","82,974","464,996","1,389,159"
California,"39,512,223","19,640,794","19,871,429","2,377,839","2,380,762","2,629,510","2,547,449","2,638,791","6,036,052","5,298,911","4,974,817","2,461,936","2,331,158","3,391,856","1,725,842","717,300","25,133,071","2,782,446","772,394","6,762,404","334,351","5,895,002","2,171,989","14,367,012"
Colorado,"5,758,736","2,904,955","2,853,781","327,302","344,202","366,422","365,529","380,338","907,627","805,306","704,792","357,955","353,885","524,969","231,835","88,574","5,029,314","313,737","135,472","263,806","23,731","248,621","227,812","2,464,109"
Connecticut,"3,565,287","1,743,777","1,821,510","180,598","193,466","216,194","238,670","239,939","444,509","426,967","480,565","258,972","256,375","352,559","187,950","88,523","2,772,139","470,791","36,229","198,207","4,377","228,411","360,830","1,524,959"
Delaware,"973,764","470,288","503,476","54,261","54,150","59,911","60,766","57,365","128,412","113,704","118,670","66,092","70,795","112,847","57,991","18,800","686,096","237,780","9,307","45,365","1,252","26,576","213,819","443,764"
 District Of Columbia,"705,749","334,355","371,394","45,263","35,558","31,821","37,751","50,211","164,375","108,905","74,493","37,365","32,470","50,587","25,639","11,311","318,457","333,312","6,818","38,077",662,"34,027","311,575","322,814"
Florida,"21,477,737","10,498,005","10,979,732","1,131,148","1,123,648","1,258,247","1,213,809","1,266,383","2,768,060","2,612,250","2,708,234","1,475,419","1,422,341","2,463,083","1,474,050","561,065","16,553,934","3,772,874","174,845","787,637","45,992","828,037","3,272,904","9,674,053"
Georgia,"10,617,423","5,170,126","5,447,297","639,713","678,013","758,925","746,150","714,400","1,458,596","1,401,934","1,397,014","685,356","614,130","933,722","444,890","144,580","6,363,129","3,556,697","91,801","523,612","17,766","368,840","3,348,754","4,378,350"
Hawaii,"1,415,872","707,855","708,017","85,335","84,466","82,606","77,697","89,100","195,781","185,133","168,179","87,409","90,696","153,238","78,564","37,668","582,436","49,041","31,936","801,987","354,987","44,491","25,195","550,328"
Idaho,"1,787,065","898,044","889,021","115,837","125,134","129,492","125,543","120,062","234,800","225,804","202,347","104,642","114,787","174,120","86,347","28,150","1,652,946","21,666","43,756","44,416","7,130","80,118","12,349","751,113"
Illinois,"12,671,821","6,217,305","6,454,516","742,404","752,856","823,249","829,525","829,093","1,748,323","1,641,179","1,602,369","840,754","816,708","1,182,015","609,326","254,020","9,353,507","1,951,681","101,823","834,455","16,155","796,594","1,759,293","5,388,210"
Indiana,"6,732,219","3,319,907","3,412,312","414,553","413,125","469,734","464,953","467,839","886,319","825,768","827,420","446,115","431,921","637,375","319,196","127,901","5,732,778","740,150","53,972","206,288","8,652","175,969","632,503","2,921,115"
Iowa,"3,155,070","1,570,384","1,584,686","190,606","205,431","204,137","214,686","217,206","400,299","392,097","358,447","210,384","208,202","311,643","165,190","76,742","2,900,114","162,710","24,157","95,994","5,051","39,087","125,861","1,418,600"
Kansas,"2,913,314","1,446,287","1,467,027","183,236","196,962","203,308","198,860","212,867","377,373","362,905","327,291","181,715","190,801","274,666","140,129","63,201","2,537,764","214,714","66,174","108,624","5,752","97,606","161,482","1,288,430"
Kentucky,"4,467,673","2,198,205","2,269,468","273,130","264,938","292,075","295,004","294,084","576,692","556,896","562,400","295,568","302,327","454,932","222,988","76,639","3,971,124","424,716","27,768","94,285","6,874","53,286","357,789","2,006,335"
Louisiana,"4,648,794","2,268,202","2,380,592","292,977","298,089","317,155","301,712","298,660","643,422","606,785","544,724","295,758","307,318","446,721","220,113","75,360","2,954,143","1,554,297","62,087","99,072","4,313","76,113","1,494,358","2,089,824"
Maine,"1,344,212","656,330","687,882","62,813","64,874","72,870","78,209","74,294","164,231","153,615","176,429","102,302","108,597","169,556","81,769","34,653","1,289,759","32,313","21,048","23,516","1,177","7,973","20,542","750,964"
Maryland,"6,045,680","2,928,013","3,117,667","358,346","359,505","390,637","381,318","372,016","820,575","786,924","795,954","413,230","407,288","564,533","281,807","113,547","3,467,089","1,946,932","55,949","463,258","10,564","328,213","1,798,416","2,470,307"
Massachusetts,"6,892,503","3,345,556","3,546,947","355,066","355,521","395,607","451,393","484,340","992,607","849,654","894,405","483,588","458,029","676,157","336,202","159,934","5,525,268","684,786","50,888","548,125","9,306","340,401","489,592","2,928,818"
Michigan,"9,986,857","4,915,905","5,070,952","567,914","578,688","617,636","653,218","674,774","1,302,017","1,174,029","1,252,699","701,709","697,764","1,041,813","510,903","213,693","8,091,386","1,528,779","149,052","394,895","8,522","140,058","1,350,329","4,629,605"
Minnesota,"5,639,632","2,804,216","2,835,416","349,621","361,330","372,737","363,358","345,374","765,578","730,399","672,810","386,481","370,453","533,366","276,534","111,591","4,800,334","454,116","114,350","333,624","9,728","128,643","362,789","2,477,515"
Mississippi,"2,976,149","1,434,957","1,541,192","179,497","190,277","211,264","214,658","200,789","368,227","379,610","361,557","192,721","190,745","289,064","143,319","54,421","1,766,642","1,156,497","25,154","40,448","1,638","31,875","1,125,175","1,339,047"
Missouri,"6,137,428","3,008,169","3,129,259","365,451","380,818","391,770","398,235","394,992","823,722","756,709","730,645","420,294","416,849","609,250","327,032","121,661","5,184,435","792,197","77,887","162,980","15,817","89,385","697,316","2,819,334"
Montana,"1,068,778","537,170","531,608","58,850","61,823","67,783","70,013","68,359","133,119","132,472","117,178","72,614","78,658","126,488","60,461","20,960","973,711","14,608","90,259","17,354","4,170","10,226","6,167","519,938"
Nebraska,"1,934,408","966,650","967,758","129,551","131,863","136,832","131,674","132,718","257,931","243,052","216,099","119,981","122,412","179,065","91,842","41,388","1,715,918","117,408","34,247","62,532","4,380","58,108","92,057","851,167"
Nevada,"3,080,156","1,544,779","1,535,377","184,168","185,324","206,681","184,666","182,851","449,055","410,321","396,104","197,914","184,853","305,843","149,584","42,792","2,105,913","347,489","69,491","323,433","42,865","349,520","285,369","1,285,681"
New Hampshire,"1,359,711","672,960","686,751","64,200","67,001","76,710","87,386","84,664","170,730","158,985","182,129","110,803","103,956","152,050","72,230","28,867","1,287,518","30,557","11,586","47,854","2,440","12,038","19,469","642,298"
New Jersey,"8,882,190","4,342,591","4,539,599","511,925","524,592","563,204","555,206","536,034","1,148,458","1,144,104","1,199,976","620,252","603,364","837,002","444,063","194,010","6,174,937","1,339,574","57,278","953,119","11,855","633,898","1,124,643","3,641,854"
New Mexico,"2,096,829","1,036,708","1,060,121","116,978","130,751","146,207","139,186","137,719","278,627","261,847","235,075","132,366","140,343","224,011","113,221","40,498","1,610,185","70,254","226,281","53,384","4,029","211,040","39,742","948,470"
New York,"19,453,561","9,450,810","10,002,751","1,119,825","1,052,163","1,164,223","1,187,268","1,265,348","2,865,401","2,430,106","2,471,667","1,319,671","1,281,921","1,863,892","992,444","439,632","12,796,656","3,424,002","196,234","1,889,234","32,965","1,826,106","2,763,709","8,404,205"
North Carolina,"10,488,084","5,094,327","5,393,757","596,583","615,543","686,687","713,066","689,128","1,401,663","1,312,661","1,363,200","700,481","658,137","1,047,490","519,151","184,294","7,393,223","2,424,132","208,829","382,201","18,026","387,557","2,214,270","4,748,148"
