dist,2019,2020,metric
walk,23270.491484,17363.643612,child
short_drive,20510.946202000003,14541.673796,child
med_drive,3544.816755,2983.461272,child
long_drive,47451.074555,35011.944085999996,child
walk,29043.833428,22411.713784,adolescence
short_drive,26492.924035000004,19467.161952,adolescence
med_drive,4656.128446999999,4028.138101,adolescence
long_drive,60360.142527,46075.249162,adolescence
walk,41343.080423,25274.096729999997,adult
short_drive,33180.366959,19669.888786,adult
med_drive,5022.881163,4051.444679,adult
long_drive,79758.74165099999,49142.338087000004,adult
walk,11495.546174,9126.781715,senior
short_drive,10999.220902000001,8279.386569,senior
med_drive,1752.397753,1584.6008120000001,senior
long_drive,24294.976842,19044.351513999998,senior
